time,signal_1
1.045,-14609
1.046,-14544
1.047,-14526
1.048,-14556
1.049,-14608
1.050,-14617
1.051,-14576
1.052,-14542
1.053,-14541
1.054,-14711
1.055,-14989
1.056,-15211
1.057,-15292
1.058,-15433
1.059,-15525
1.060,-15558
1.061,-15535
1.062,-15459
1.063,-15430
1.064,-15528
1.065,-15719
1.066,-15856
1.067,-16109
1.068,-16336
1.069,-16569
1.070,-16688
1.071,-16802
1.072,-17004
1.073,-17287
1.074,-17550
1.075,-17803
1.076,-17954
1.077,-17866
1.078,-17394
1.079,-16711
1.080,-15904
1.081,-15237
1.082,-14854
1.083,-14649
1.084,-14564
1.085,-14589
1.086,-14757
1.087,-14955
1.088,-15181
1.089,-15287
1.090,-15144
1.091,-14764
1.092,-14418
1.093,-14056
1.094,-13789
1.095,-13589
1.096,-13561
1.097,-13735
1.098,-14067
1.099,-14312
1.100,-14437
1.101,-14657
1.102,-14905
1.103,-15041
1.104,-15095
1.105,-15151
1.106,-15179
1.107,-15122
1.108,-15070
1.109,-14974
1.110,-14906
1.111,-14852
1.112,-14855
1.113,-14784
1.114,-14727
1.115,-14734
1.116,-14697
1.117,-14664
1.118,-14719
1.119,-14732
1.120,-14715
1.121,-14613
1.122,-14558
1.123,-14547
1.124,-14560
1.125,-14573
1.126,-14483
1.127,-14470
1.128,-14572
1.129,-14620
1.130,-14621
1.131,-14639
1.132,-14618
1.133,-14561
1.134,-14563
1.135,-14586
1.136,-14583
1.137,-14560
1.138,-14640
1.139,-14731
1.140,-14694
1.141,-14669
1.142,-14596
1.143,-14590
1.144,-14661
1.145,-14677
1.146,-14722
1.147,-14775
1.148,-14756
1.149,-14733
1.150,-14768
1.151,-14769
1.152,-14751
1.153,-14752
1.154,-14727
1.155,-14705
1.156,-14712
1.157,-14714
1.158,-14707
1.159,-14694
1.160,-14739
1.161,-14766
1.162,-14753
1.163,-14711
1.164,-14702
1.165,-14710
1.166,-14704
1.167,-14694
1.168,-14697
1.169,-14712
1.170,-14716
1.171,-14741
1.172,-14732
1.173,-14762
1.174,-14796
1.175,-14825
1.176,-14851
1.177,-14828
1.178,-14804
1.179,-14877
1.180,-14950
1.181,-14999
1.182,-15014
1.183,-14996
1.184,-15015
1.185,-15024
1.186,-15026
1.187,-15021
1.188,-14991
1.189,-15000
1.190,-14959
1.191,-14984
1.192,-14951
1.193,-14950
1.194,-14939
1.195,-15008
1.196,-15030
1.197,-15017
1.198,-15086
1.199,-15091
1.200,-15133
1.201,-15195
1.202,-15172
1.203,-15153
1.204,-15132
1.205,-15111
1.206,-15152
1.207,-15201
1.208,-15211
1.209,-15256
1.210,-15259
1.211,-15306
1.212,-15297
1.213,-15306
1.214,-15347
1.215,-15439
1.216,-15436
1.217,-15425
1.218,-15412
1.219,-15395
1.220,-15379
1.221,-15379
1.222,-15372
1.223,-15442
1.224,-15456
1.225,-15449
1.226,-15459
1.227,-15449
1.228,-15455
1.229,-15419
1.230,-15484
1.231,-15514
1.232,-15552
1.233,-15554
1.234,-15592
1.235,-15680
1.236,-15716
1.237,-15717
1.238,-15741
1.239,-15751
1.240,-15805
1.241,-15819
1.242,-15854
1.243,-15851
1.244,-15875
1.245,-15851
1.246,-15881
1.247,-15901
1.248,-15901
1.249,-15899
1.250,-15949
1.251,-15957
1.252,-16022
1.253,-16129
1.254,-16161
1.255,-16174
1.256,-16193
1.257,-16286
1.258,-16329
1.259,-16384
1.260,-16440
1.261,-16485
1.262,-16505
1.263,-16552
1.264,-16592
1.265,-16598
1.266,-16621
1.267,-16656
1.268,-16630
1.269,-16672
1.270,-16663
1.271,-16709
1.272,-16753
1.273,-16786
1.274,-16840
1.275,-16816
1.276,-16852
1.277,-16912
1.278,-16983
1.279,-17013
1.280,-17009
1.281,-17018
1.282,-16972
1.283,-16952
1.284,-16994
1.285,-17048
1.286,-17117
1.287,-17187
1.288,-17134
1.289,-17097
1.290,-17093
1.291,-17057
1.292,-17089
1.293,-17084
1.294,-17118
1.295,-17099
1.296,-17086
1.297,-17153
1.298,-17264
1.299,-17316
1.300,-17319
1.301,-17282
1.302,-17242
1.303,-17193
1.304,-17151
1.305,-17112
1.306,-17137
1.307,-17126
1.308,-17137
1.309,-17090
1.310,-17027
1.311,-16954
1.312,-16919
1.313,-16909
1.314,-16877
1.315,-16840
1.316,-16869
1.317,-16788
1.318,-16674
1.319,-16650
1.320,-16602
1.321,-16549
1.322,-16454
1.323,-16374
1.324,-16340
1.325,-16332
1.326,-16230
1.327,-16147
1.328,-16054
1.329,-16026
1.330,-15992
1.331,-15931
1.332,-15914
1.333,-15828
1.334,-15791
1.335,-15756
1.336,-15688
1.337,-15701
1.338,-15772
1.339,-15804
1.340,-15822
1.341,-15800
1.342,-15729
1.343,-15638
1.344,-15551
1.345,-15481
1.346,-15418
1.347,-15324
1.348,-15283
1.349,-15214
1.350,-15128
1.351,-15111
1.352,-15104
1.353,-15052
1.354,-15054
1.355,-15089
1.356,-15086
1.357,-15014
1.358,-14990
1.359,-14999
1.360,-14924
1.361,-14894
1.362,-14887
1.363,-14831
1.364,-14789
1.365,-14752
1.366,-14684
1.367,-14662
1.368,-14609
1.369,-14571
1.370,-14610
1.371,-14611
1.372,-14635
1.373,-14685
1.374,-14626
1.375,-14624
1.376,-14622
1.377,-14634
1.378,-14636
1.379,-14623
1.380,-14659
1.381,-14692
1.382,-14694
1.383,-14664
1.384,-14617
1.385,-14647
1.386,-14627
1.387,-14622
1.388,-14608
1.389,-14595
1.390,-14512
1.391,-14480
1.392,-14490
1.393,-14512
1.394,-14536
1.395,-14497
1.396,-14494
1.397,-14536
1.398,-14519
1.399,-14499
1.400,-14527
1.401,-14505
1.402,-14507
1.403,-14553
1.404,-14553
1.405,-14539
1.406,-14468
1.407,-14444
1.408,-14451
1.409,-14431
1.410,-14471
1.411,-14504
1.412,-14511
1.413,-14526
1.414,-14462
1.415,-14496
1.416,-14495
1.417,-14520
1.418,-14534
1.419,-14548
1.420,-14560
1.421,-14557
1.422,-14605
1.423,-14633
1.424,-14632
1.425,-14604
1.426,-14583
1.427,-14590
1.428,-14529
1.429,-14495
1.430,-14485
1.431,-14489
1.432,-14504
1.433,-14502
1.434,-14495
1.435,-14496
1.436,-14537
1.437,-14574
1.438,-14570
1.439,-14558
1.440,-14607
1.441,-14620
1.442,-14623
1.443,-14599
1.444,-14600
1.445,-14608
1.446,-14621
1.447,-14612
1.448,-14656
1.449,-14644
1.450,-14584
1.451,-14622
1.452,-14593
1.453,-14608
1.454,-14591
1.455,-14584
1.456,-14582
1.457,-14602
1.458,-14620
1.459,-14660
1.460,-14636
1.461,-14687
1.462,-14715
1.463,-14736
1.464,-14781
1.465,-14759
1.466,-14786
1.467,-14846
1.468,-14837
1.469,-14827
1.470,-14846
1.471,-14821
1.472,-14820
1.473,-14831
1.474,-14781
1.475,-14776
1.476,-14748
1.477,-14722
1.478,-14703
1.479,-14697
1.480,-14730
1.481,-14735
1.482,-14739
1.483,-14751
1.484,-14764
1.485,-14765
1.486,-14772
1.487,-14761
1.488,-14709
1.489,-14665
1.490,-14674
1.491,-14712
1.492,-14709
1.493,-14662
1.494,-14646
1.495,-14670
1.496,-14750
1.497,-14786
1.498,-14717
1.499,-14706
1.500,-14698
1.501,-14727
1.502,-14762
1.503,-14764
1.504,-14770
1.505,-14786
1.506,-14759
1.507,-14701
1.508,-14744
1.509,-14697
1.510,-14710
1.511,-14708
1.512,-14723
1.513,-14717
1.514,-14692
1.515,-14715
1.516,-14756
1.517,-14757
1.518,-14779
1.519,-14772
1.520,-14777
1.521,-14797
1.522,-14801
1.523,-14797
1.524,-14807
1.525,-14811
1.526,-14785
1.527,-14777
1.528,-14789
1.529,-14794
1.530,-14776
1.531,-14701
1.532,-14699
1.533,-14704
1.534,-14671
1.535,-14650
1.536,-14644
1.537,-14636
1.538,-14662
1.539,-14702
1.540,-14633
1.541,-14611
1.542,-14598
1.543,-14599
1.544,-14637
1.545,-14702
1.546,-14661
1.547,-14633
1.548,-14657
1.549,-14676
1.550,-14667
1.551,-14645
1.552,-14667
1.553,-14710
1.554,-14669
1.555,-14683
1.556,-14668
1.557,-14639
1.558,-14587
1.559,-14664
1.560,-14723
1.561,-14660
1.562,-14635
1.563,-14606
1.564,-14609
1.565,-14617
1.566,-14632
1.567,-14616
1.568,-14591
1.569,-14621
1.570,-14606
1.571,-14599
1.572,-14592
1.573,-14633
1.574,-14659
1.575,-14689
1.576,-14664
1.577,-14678
1.578,-14644
1.579,-14611
1.580,-14624
1.581,-14610
1.582,-14596
1.583,-14581
1.584,-14575
1.585,-14519
1.586,-14469
1.587,-14444
1.588,-14490
1.589,-14493
1.590,-14504
1.591,-14551
1.592,-14493
1.593,-14504
1.594,-14479
1.595,-14476
1.596,-14523
1.597,-14558
1.598,-14596
1.599,-14576
1.600,-14569
1.601,-14584
1.602,-14569
1.603,-14545
1.604,-14558
1.605,-14598
1.606,-14527
1.607,-14547
1.608,-14570
1.609,-14570
1.610,-14543
1.611,-14568
1.612,-14534
1.613,-14516
1.614,-14528
1.615,-14518
1.616,-14524
1.617,-14559
1.618,-14613
1.619,-14629
1.620,-14561
1.621,-14552
1.622,-14532
1.623,-14508
1.624,-14571
1.625,-14534
1.626,-14462
1.627,-14512
1.628,-14577
1.629,-14566
1.630,-14601
1.631,-14607
1.632,-14637
1.633,-14672
1.634,-14723
1.635,-14736
1.636,-14747
1.637,-14724
1.638,-14712
1.639,-14750
1.640,-14672
1.641,-14605
1.642,-14574
1.643,-14618
1.644,-14595
1.645,-14607
1.646,-14609
1.647,-14659
1.648,-14702
1.649,-14742
1.650,-14802
1.651,-14830
1.652,-14864
1.653,-14899
1.654,-14962
1.655,-14996
1.656,-15020
1.657,-15031
1.658,-15036
1.659,-15074
1.660,-15052
1.661,-15123
1.662,-15172
1.663,-15171
1.664,-15113
1.665,-15086
1.666,-15048
1.667,-15061
1.668,-15087
1.669,-15081
1.670,-15057
1.671,-15090
1.672,-15086
1.673,-15097
1.674,-15084
1.675,-15130
1.676,-15144
1.677,-15107
1.678,-15041
1.679,-14904
1.680,-14851
1.681,-14826
1.682,-14826
1.683,-14894
1.684,-14954
1.685,-14972
1.686,-14932
1.687,-14936
1.688,-14866
1.689,-14871
1.690,-14887
1.691,-14952
1.692,-14954
1.693,-14881
1.694,-14837
1.695,-14752
1.696,-14745
1.697,-14712
1.698,-14709
1.699,-14732
1.700,-14654
1.701,-14607
1.702,-14576
1.703,-14505
1.704,-14435
1.705,-14420
1.706,-14413
1.707,-14394
1.708,-14430
1.709,-14422
1.710,-14357
1.711,-14346
1.712,-14325
1.713,-14311
1.714,-14332
1.715,-14348
1.716,-14319
1.717,-14335
1.718,-14324
1.719,-14317
1.720,-14334
1.721,-14328
1.722,-14302
1.723,-14295
1.724,-14233
1.725,-14244
1.726,-14272
1.727,-14275
1.728,-14261
1.729,-14251
1.730,-14295
1.731,-14296
1.732,-14288
1.733,-14214
1.734,-14159
1.735,-14214
1.736,-14197
1.737,-14197
1.738,-14210
1.739,-14262
1.740,-14339
1.741,-14325
1.742,-14314
1.743,-14265
1.744,-14229
1.745,-14183
1.746,-14151
1.747,-14194
